timestamp,test-class,test-method,time,description,result
2021-08-25 12:52:02.603,acme.testing.anonymous.shout.AnonymousShoutListTest,listPositive,1069,"[1] recordIndex=0, moment=2021/8/23 23:59, author=Juan Perez, text=hola, link=http://www.example.com",Expected value '2021/8/23 23:59' in attribute 0 of record 0, but found '2021/08/23 23:59'
2021-08-25 12:52:04.036,acme.testing.anonymous.shout.AnonymousShoutListTest,listPositive,1034,"[2] recordIndex=1, moment=2021/8/23 23:59, author=Leonardo Dicaprio, text=buenos días, link=http://www.example.com",Expected value '2021/8/23 23:59' in attribute 0 of record 1, but found '2021/08/23 23:59'
2021-08-25 12:52:07.041,acme.testing.anonymous.shout.AnonymousShoutListTest,listPositive,1127,"[3] recordIndex=2, moment=2021/8/23 23:59, author=Joe Biden, text=Me aburro, link=null",Expected value '2021/8/23 23:59' in attribute 0 of record 2, but found '2021/08/23 23:59'
2021-08-25 12:52:08.466,acme.testing.anonymous.shout.AnonymousShoutListTest,listPositive,995,"[4] recordIndex=3, moment=2021/8/23 23:59, author=Angela Merkel, text=Algo que decir, link=null",Expected value '2021/8/23 23:59' in attribute 0 of record 3, but found '2021/08/23 23:59'
2021-08-25 12:52:09.829,acme.testing.anonymous.shout.AnonymousShoutListTest,listPositive,988,"[5] recordIndex=4, moment=2021/8/23 23:59, author=Angelina Jolie, text=NOOOOOOOO, link=null",Expected value '2021/8/23 23:59' in attribute 0 of record 4, but found '2021/08/23 23:59'
2021-08-25 12:52:11.349,acme.testing.anonymous.shout.AnonymousShoutListTest,listPositive,1037,"[6] recordIndex=5, moment=2021/8/23 23:59, author=Ms X, text=YES, link=http://www.example.com",Expected value '2021/8/23 23:59' in attribute 0 of record 5, but found '2021/08/23 23:59'
2021-08-25 12:52:12.783,acme.testing.anonymous.shout.AnonymousShoutListTest,listPositive,1010,"[7] recordIndex=6, moment=2021/8/23 23:59, author=Jane Doe, text=q passssa?, link=http://www.example.com",Expected value '2021/8/23 23:59' in attribute 0 of record 6, but found '2021/08/23 23:59'
2021-08-25 12:52:14.19,acme.testing.anonymous.shout.AnonymousShoutListTest,listNegative,1002,"[1] recordIndex=0, moment=2021/1/23 23:59, author=Juan Perez, text=hola, link=http://www.example.com",Expected value '' in attribute 0 of record 0, but found '2021/08/23 23:59'
2021-08-25 12:52:15.695,acme.testing.anonymous.shout.AnonymousShoutListTest,listNegative,1093,"[2] recordIndex=1, moment=2021/1/23 23:59, author=Leonardo Dicaprio, text=buenos días, link=http://www.example.com",Expected value '' in attribute 0 of record 1, but found '2021/08/23 23:59'
2021-08-25 12:52:17.111,acme.testing.anonymous.shout.AnonymousShoutListTest,listNegative,1021,"[3] recordIndex=2, moment=2021/1/23 23:59, author=Joe Biden, text=Me aburro, link=null",Expected value '' in attribute 0 of record 2, but found '2021/08/23 23:59'
2021-08-25 12:52:18.544,acme.testing.anonymous.shout.AnonymousShoutListTest,listNegative,1022,"[4] recordIndex=3, moment=2021/1/23 23:59, author=Angela Merkel, text=Algo que decir, link=null",Expected value '' in attribute 0 of record 3, but found '2021/08/23 23:59'
2021-08-25 12:52:20.161,acme.testing.anonymous.shout.AnonymousShoutListTest,listNegative,1048,"[5] recordIndex=4, moment=2021/1/23 23:59, author=Angelina Jolie, text=NOOOOOOOO, link=null",Expected value '' in attribute 0 of record 4, but found '2021/08/23 23:59'
2021-08-25 12:52:21.605,acme.testing.anonymous.shout.AnonymousShoutListTest,listNegative,1014,"[6] recordIndex=5, moment=2021/1/23 23:59, author=Ms X, text=YES, link=http://www.example.com",Expected value '' in attribute 0 of record 5, but found '2021/08/23 23:59'
2021-08-25 12:52:22.945,acme.testing.anonymous.shout.AnonymousShoutListTest,listNegative,999,"[7] recordIndex=6, moment=2021/1/23 23:59, author=Jane Doe, text=q passssa?, link=http://www.example.com",Expected value '' in attribute 0 of record 6, but found '2021/08/23 23:59'
2021-08-25 12:53:18.529,acme.testing.PanicTest,positivePanic,531,"positivePanic()",OK
2021-08-25 12:53:19.302,acme.testing.PanicTest,negativePanic,385,"negativePanic()",OK
