timestamp,test-class,test-method,time,description,result
2021-11-29 23:44:56.489,acme.testing.anonymous.shout.AnonymousShoutListTest,listPositive,3790,"[1] recordIndex=0, moment=23/11/2021 23:59:00, author=Juan Perez, text=hola, link=http://www.example.com",OK
2021-11-29 23:44:58.095,acme.testing.anonymous.shout.AnonymousShoutListTest,listPositive,1058,"[2] recordIndex=1, moment=24/11/2021 23:59:00, author=Leonardo Dicaprio, text=buenos días, link=http://www.example.com",Expected value 'Leonardo Dicaprio' in attribute 1 of record 1, but found 'Leonardo Dicrapio'
2021-11-29 23:45:00.334,acme.testing.anonymous.shout.AnonymousShoutListTest,listPositive,1230,"[3] recordIndex=2, moment=25/11/2021 23:59:00, author=Joe Biden, text=Me aburro, link=null",OK
2021-11-29 23:45:01.974,acme.testing.anonymous.shout.AnonymousShoutListTest,listPositive,1239,"[4] recordIndex=3, moment=26/11/2021 23:59:00, author=Angela Merkel, text=Algo que decir, link=null",OK
2021-11-29 23:45:03.643,acme.testing.anonymous.shout.AnonymousShoutListTest,listPositive,1269,"[5] recordIndex=4, moment=27/11/2021 23:59:00, author=Angelina Jolie, text=NOOOOOOOO, link=null",OK
2021-11-29 23:45:05.369,acme.testing.anonymous.shout.AnonymousShoutListTest,listPositive,1270,"[6] recordIndex=5, moment=28/11/2021 23:59:00, author=Miss X, text=YES, link=http://www.example.com",OK
2021-11-29 23:45:07.011,acme.testing.anonymous.shout.AnonymousShoutListTest,listPositive,1279,"[7] recordIndex=6, moment=29/11/2021 23:59:00, author=Jane Doe, text=q passssa?, link=http://www.example.com",OK
2021-11-29 23:45:43.807,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createPositive,7634,"[1] recordIndex=7, author=Paco Gonzalez, text=jajajajajaja, link=http://www.example.com",OK
2021-11-29 23:45:49.382,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createPositive,5211,"[2] recordIndex=8, author=Nadie, text=Así sí, link=http://www.example.com",OK
2021-11-29 23:45:53.798,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createPositive,3974,"[3] recordIndex=9, author=Mr Bean, text=Así no, link=null",OK
